splat_id,ply_path,training_iteration,quality_label,notes
iter_01000,/home/nick/Downloads/brush-app-x86_64-unknown-linux-gnu/cps_labor_eval/export_01000.ply,1000,iter_01000,cps labor default main
iter_02000,/home/nick/Downloads/brush-app-x86_64-unknown-linux-gnu/cps_labor_eval/export_02000.ply,2000,iter_02000,cps labor default main
iter_03000,/home/nick/Downloads/brush-app-x86_64-unknown-linux-gnu/cps_labor_eval/export_03000.ply,3000,iter_03000,cps labor default main
iter_04000,/home/nick/Downloads/brush-app-x86_64-unknown-linux-gnu/cps_labor_eval/export_04000.ply,4000,iter_04000,cps labor default main
iter_05000,/home/nick/Downloads/brush-app-x86_64-unknown-linux-gnu/cps_labor_eval/export_05000.ply,5000,iter_05000,cps labor default main
iter_06000,/home/nick/Downloads/brush-app-x86_64-unknown-linux-gnu/cps_labor_eval/export_06000.ply,6000,iter_06000,cps labor default main
iter_07000,/home/nick/Downloads/brush-app-x86_64-unknown-linux-gnu/cps_labor_eval/export_07000.ply,7000,iter_07000,cps labor default main
iter_08000,/home/nick/Downloads/brush-app-x86_64-unknown-linux-gnu/cps_labor_eval/export_08000.ply,8000,iter_08000,cps labor default main
iter_09000,/home/nick/Downloads/brush-app-x86_64-unknown-linux-gnu/cps_labor_eval/export_09000.ply,9000,iter_09000,cps labor default main
iter_10000,/home/nick/Downloads/brush-app-x86_64-unknown-linux-gnu/cps_labor_eval/export_10000.ply,10000,iter_10000,cps labor default main
iter_11000,/home/nick/Downloads/brush-app-x86_64-unknown-linux-gnu/cps_labor_eval/export_11000.ply,11000,iter_11000,cps labor default main
iter_12000,/home/nick/Downloads/brush-app-x86_64-unknown-linux-gnu/cps_labor_eval/export_12000.ply,12000,iter_12000,cps labor default main
iter_13000,/home/nick/Downloads/brush-app-x86_64-unknown-linux-gnu/cps_labor_eval/export_13000.ply,13000,iter_13000,cps labor default main
iter_14000,/home/nick/Downloads/brush-app-x86_64-unknown-linux-gnu/cps_labor_eval/export_14000.ply,14000,iter_14000,cps labor default main
iter_15000,/home/nick/Downloads/brush-app-x86_64-unknown-linux-gnu/cps_labor_eval/export_15000.ply,15000,iter_15000,cps labor default main
iter_16000,/home/nick/Downloads/brush-app-x86_64-unknown-linux-gnu/cps_labor_eval/export_16000.ply,16000,iter_16000,cps labor default main
iter_17000,/home/nick/Downloads/brush-app-x86_64-unknown-linux-gnu/cps_labor_eval/export_17000.ply,17000,iter_17000,cps labor default main
iter_18000,/home/nick/Downloads/brush-app-x86_64-unknown-linux-gnu/cps_labor_eval/export_18000.ply,18000,iter_18000,cps labor default main
iter_19000,/home/nick/Downloads/brush-app-x86_64-unknown-linux-gnu/cps_labor_eval/export_19000.ply,19000,iter_19000,cps labor default main
iter_20000,/home/nick/Downloads/brush-app-x86_64-unknown-linux-gnu/cps_labor_eval/export_20000.ply,20000,iter_20000,cps labor default main
iter_21000,/home/nick/Downloads/brush-app-x86_64-unknown-linux-gnu/cps_labor_eval/export_21000.ply,21000,iter_21000,cps labor default main
iter_22000,/home/nick/Downloads/brush-app-x86_64-unknown-linux-gnu/cps_labor_eval/export_22000.ply,22000,iter_22000,cps labor default main
iter_23000,/home/nick/Downloads/brush-app-x86_64-unknown-linux-gnu/cps_labor_eval/export_23000.ply,23000,iter_23000,cps labor default main
iter_24000,/home/nick/Downloads/brush-app-x86_64-unknown-linux-gnu/cps_labor_eval/export_24000.ply,24000,iter_24000,cps labor default main
iter_25000,/home/nick/Downloads/brush-app-x86_64-unknown-linux-gnu/cps_labor_eval/export_25000.ply,25000,iter_25000,cps labor default main
iter_26000,/home/nick/Downloads/brush-app-x86_64-unknown-linux-gnu/cps_labor_eval/export_26000.ply,26000,iter_26000,cps labor default main
iter_27000,/home/nick/Downloads/brush-app-x86_64-unknown-linux-gnu/cps_labor_eval/export_27000.ply,27000,iter_27000,cps labor default main
iter_28000,/home/nick/Downloads/brush-app-x86_64-unknown-linux-gnu/cps_labor_eval/export_28000.ply,28000,iter_28000,cps labor default main
iter_29000,/home/nick/Downloads/brush-app-x86_64-unknown-linux-gnu/cps_labor_eval/export_29000.ply,29000,iter_29000,cps labor default main
iter_30000,/home/nick/Downloads/brush-app-x86_64-unknown-linux-gnu/cps_labor_eval/export_30000.ply,30000,iter_30000,cps labor default main
